price,bedrooms,baths,area
459900,3.0,2.5,1829
999999,4.0,4.5,3663
372900,3.0,2.0,1256
314999,3.0,2.0,1454
439000,2.0,2.0,1533
998000,3.0,3.5,2461
679999,4.0,3.5,2334
455000,4.0,3.0,2607
299900,2.0,2.0,1280
260000,2.0,2.0,1121
515000,4.0,2.5,2290
550000,3.0,2.5,1820
479900,3.0,2.5,1698
499900,4.0,2.5,2062
578500,3.0,2.0,1631
365000,3.0,2.0,1381
360000,3.0,2.0,1436
245000,3.0,1.5,1462
179000,2.0,2.0,1248
215000,3.0,2.0,1084
599999,2.0,2.5,1782
265000,3.0,2.0,1288
450000,4.0,3.0,1711
235000,2.0,2.0,1053
270000,2.0,2.0,1091
635000,2.0,2.0,1452
349900,3.0,2.0,1288
324900,2.0,2.0,1186
405000,5.0,3.0,1972
374999,4.0,2.0,1511
530000,3.0,2.0,1852
316000,2.0,2.5,1149
517000,3.0,2.5,2174
449999,2.0,2.0,1396
365000,2.0,2.0,1105
625000,4.0,3.5,2519
439900,2.0,2.0,1694
4399999,2.0,2.5,2563
829995,5.0,4.5,3272
374400,4.0,3.0,2007
449900,2.0,2.0,1180
315000,2.0,2.0,1038
233000,2.0,2.0,920
420000,3.0,2.5,1423
395000,4.0,2.5,1994
209900,2.0,2.0,1116
735000,6.0,3.0,3387
610000,5.0,3.0,3723
430000,4.0,3.0,1806
460000,3.0,2.5,2264
276000,3.0,2.0,1188
699000,4.0,3.0,2100
335000,3.0,2.0,1198
412860,3.0,2.0,1371
524900,3.0,2.5,2456
369000,2.0,2.5,1597
450000,3.0,2.5,1847
625000,2.0,2.5,2212
669900,3.0,3.0,2535
324999,4.0,2.0,1334
359999,2.0,2.0,974
574999,3.0,2.0,1949
415000,3.0,2.0,1975
645000,6.0,3.0,3828
349990,2.0,2.0,1051
224900,2.0,2.0,965
620000,4.0,2.5,2522
430000,3.0,2.0,1838
1299999,5.0,3.5,4921
435000,3.0,2.0,1549
375000,3.0,2.5,1739
545000,5.0,3.0,2572
430000,3.0,2.5,1261
450000,2.0,2.5,1431
280000,3.0,2.5,1344
1100000,2.0,2.5,2577
495000,4.0,2.5,1941
385000,3.0,2.0,1612
415000,3.0,2.0,1620
313000,2.0,2.0,1198
641415,3.0,2.0,1910
637653,3.0,2.0,1830
654642,3.0,2.0,1930
553283,3.0,2.0,1930
429500,4.0,2.0,1584
395000,2.0,2.0,1539
350000,3.0,2.5,1696
475000,3.0,2.0,1530
535000,4.0,2.5,2140
399999,2.0,2.5,1298
1099000,4.0,3.5,3147
625000,5.0,3.0,2968
869900,5.0,3.0,2112
530000,4.0,2.5,2119
749999,5.0,3.0,3034
514999,4.0,2.5,1909
1099000,2.0,2.5,2137
529888,3.0,2.5,2142
450000,6.0,2.0,1670
482000,5.0,4.0,2642
350000,3.0,2.5,2246
435000,2.0,2.0,1741
799999,2.0,3.0,2805
355000,2.0,2.0,1282
375000,3.0,2.0,1161
375000,3.0,3.0,1620
465000,3.0,2.0,1660
369000,3.0,2.5,1468
400000,4.0,3.0,1620
250000,2.0,2.0,1168
429000,2.0,2.0,1338
450000,3.0,2.0,1584
360000,2.0,2.0,1098
399000,3.0,2.5,1715
323000,4.0,2.0,1512
498000,4.0,3.0,2771
400000,3.0,2.0,1477
225000,3.0,2.0,1197
455000,4.0,3.0,1869
250000,2.0,2.0,987
498000,4.0,3.0,2415
519000,3.0,3.5,1770
367000,3.0,2.0,1424
468828,4.0,3.0,2229
400000,4.0,2.0,1902
1614900,4.0,3.5,3396
275000,2.0,2.0,1134
679988,5.0,3.5,3971
329900,2.0,2.0,1713
545000,2.0,1.5,1091
2100000,11.0,6.0,4223
599999,2.0,2.0,1095
2500000,8.0,6.0,3680
2000000,6.0,3.0,3078
697000,2.0,2.0,1065
1500000,4.0,3.5,2712
859000,2.0,2.0,1354
795000,4.0,3.0,2043
900000,2.0,1.5,1000
829999,2.0,2.0,1267
4695000,2.0,2.5,2190
645000,3.0,2.5,2082
2595000,2.0,2.0,1500
1874900,4.0,3.0,2478
1900000,4.0,2.0,1910
1100000,5.0,3.0,2118
999000,5.0,3.0,2105
899000,4.0,1.5,1267
1190000,5.0,5.0,2523
530000,3.0,2.0,1556
475000,3.0,1.5,1130
699000,2.0,2.0,954
2200000,8.0,4.0,3297
649000,2.0,2.5,1260
509000,3.0,1.5,1305
2875000,2.0,2.5,1636
2949000,3.0,3.0,2500
599900,2.0,2.0,862
649000,2.0,2.0,899
1149000,2.0,2.5,1425
849900,2.0,2.0,977
739000,2.0,2.0,1173
2350000,3.0,2.5,1793
899000,3.0,2.5,1600
829000,2.0,2.0,1350
2479000,2.0,2.5,1485
605900,3.0,2.0,1053
2125000,2.0,2.5,1497
1375000,3.0,2.0,1570
579900,3.0,2.5,1237
2350000,3.0,2.5,1793
689000,4.0,3.0,2143
729000,2.0,2.0,1018
599000,3.0,2.0,971
1125000,4.0,3.5,2927
525000,2.0,1.5,1684
599000,2.0,2.0,1784
549999,9.0,2.5,2295
4889000,9.0,12.5,5000
825000,2.0,2.0,839
1050000,3.0,2.0,1387
669999,3.0,2.0,1181
1095000,2.0,1.5,1073
899000,2.0,2.0,1121
2099000,11.0,3.0,4137
2150000,10.0,6.0,3606
779000,6.0,2.0,2356
749000,2.0,2.0,1050
8995000,4.0,4.5,3084
5650000,2.0,2.5,1841
11500000,4.0,3.5,3325
2995000,4.0,4.0,2959
1785000,4.0,3.5,1908
2750000,3.0,3.5,2244
685000,4.0,1.5,1644
4100000,3.0,2.5,2172
1975000,8.0,6.0,2658
1275000,3.0,2.0,1587
4299900,3.0,2.5,2726
560000,4.0,1.5,2000
999990,2.0,2.0,1855
950000,3.0,2.5,1853
1375000,3.0,3.5,1671
799000,2.0,2.0,960
1699900,2.0,2.0,1396
5900000,3.0,3.5,2409
430000,3.0,1.5,1349
7399000,5.0,4.0,5398
3795000,4.0,4.5,2779
6295000,7.0,7.0,4755
1599000,2.0,2.5,1187
1519000,2.0,2.0,1242
635000,2.0,2.0,1035
1695000,2.0,3.0,2020
729000,2.0,2.0,983
695000,2.0,2.0,937
2825000,2.0,2.0,1405
609900,5.0,2.5,1329
794900,2.0,2.0,1320
649000,3.0,2.0,950
1249000,6.0,3.0,2970
999000,2.0,2.0,971
619000,2.0,2.5,2100
1695000,2.0,2.0,1257
1799900,3.0,2.0,2123
850000,6.0,1.5,2831
849500,3.0,1.5,1224
1275000,2.0,1.5,1300
1895000,3.0,2.5,1900
2720000,2.0,2.5,1635
2050000,4.0,5.5,2465
3835000,8.0,9.0,4425
745000,4.0,2.0,2500
4150000,2.0,2.5,1755
3780000,2.0,2.5,1667
1950000,2.0,2.5,1580
575000,3.0,2.0,1600
